X,i5,dna_code,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,code,unique_site,landuse,location,texture
35,i5,36,870,Rarefaction,0,0.93469441,188.8443692,185.4390055,192.2497329,VB010,2,Grassland,Haarzuilens,Klei
36,i5,37,870,Rarefaction,0,0.916930276,217.6110522,213.8027624,221.4193421,VB129,22,Forest,Amsterdam,Klei
37,i5,38,870,Rarefaction,0,0.937497056,208.2207515,203.6515688,212.7899341,VB049,9,Grassland,Boelenslaan,Zand
38,i5,39,870,Rarefaction,0,0.944506451,91.55459411,88.99989071,94.10929751,VB105,18,Grassland,Sint-Truiden,Leem
39,i5,40,870,Rarefaction,0,0.945263075,191.4247649,187.6461005,195.2034294,VB146,25,Food_forest,Swalmen,Zand
40,i5,163,870,Rarefaction,0,0.940583307,192.350143,188.3721942,196.3280919,VB061,11,Forest,Boelenslaan,Zand
41,i5,164,870,Rarefaction,0,0.896605694,207.8754508,204.538499,211.2124026,VB119,20,Grassland,Amsterdam,Klei
42,i5,43,870,Rarefaction,0,0.96546664,114.7140422,111.500877,117.9272074,VB021,4,Arable_field,Haarzuilens,Klei
43,i5,166,870,Rarefaction,0,0.905897529,167.5693865,164.3095827,170.8291904,VB123,21,Food_forest,Amsterdam,Klei
44,i5,167,870,Rarefaction,0,0.897059819,219.8777321,216.8385805,222.9168836,VB087,15,Food_forest,Groesbeek,Leem
45,i5,47,870,Rarefaction,0,0.999230496,76.99009139,73.92728255,80.05290023,VB097,17,Forest,Sint-Truiden,Leem
46,i5,48,870,Rarefaction,0,0.952698883,188.5865758,184.3498129,192.8233387,VB053,9,Grassland,Boelenslaan,Zand
47,i5,49,870,Rarefaction,0,0.935041418,185.9690629,182.0019482,189.9361776,VB034,6,Grassland,Vlaardingen,Klei
48,i5,50,870,Rarefaction,0,0.922227702,196.4312375,193.4995548,199.3629203,VB055,10,Food_forest,Boelenslaan,Zand
49,i5,168,870,Rarefaction,0,0.922854334,210.8767435,206.8083926,214.9450945,VB112,19,Arable_field,Sint-Truiden,Leem
50,i5,52,870,Rarefaction,0,0.920273402,144.9780311,142.1261476,147.8299147,VB116,20,Grassland,Amsterdam,Klei
51,i5,53,870,Rarefaction,0,0.971142952,141.0461853,137.8387698,144.2536007,VB035,6,Grassland,Vlaardingen,Klei
52,i5,54,870,Rarefaction,0,0.953428679,171.3206242,167.8124982,174.8287502,VB042,7,Food_forest,Vlaardingen,Klei
53,i5,55,870,Rarefaction,0,0.964154779,113.2740167,110.4636531,116.0843804,VB037,7,Food_forest,Vlaardingen,Klei
54,i5,56,870,Rarefaction,0,0.954297123,164.1528789,160.6068906,167.6988672,VB070,12,Arable_field,Groesbeek,Leem
55,i5,169,870,Rarefaction,0,0.872733779,276.6701143,273.1144434,280.2257853,VB089,15,Food_forest,Groesbeek,Leem
56,i5,58,870,Rarefaction,0,0.947744729,88.0692483,86.24877923,89.88971737,VB106,18,Grassland,Sint-Truiden,Leem
57,i5,59,870,Rarefaction,0,0.894616268,227.101328,223.8685048,230.3341513,VB082,14,Grassland,Groesbeek,Leem
58,i5,360,870,Rarefaction,0,0.999706506,87.99868417,84.92731945,91.07004888,VB135,23,Forest,Swalmen,Zand
59,i5,62,870,Rarefaction,0,0.915449874,228.8290366,225.112465,232.5456082,VB014,3,Forest,Haarzuilens,Klei
60,i5,63,870,Rarefaction,0,0.922316147,152.1276995,148.7669372,155.4884618,VB118,20,Grassland,Amsterdam,Klei
61,i5,171,870,Rarefaction,0,0.937727153,172.9027448,168.9970122,176.8084774,VB036,6,Grassland,Vlaardingen,Klei
62,i5,65,870,Rarefaction,0,0.903820789,247.185046,243.5587254,250.8113667,VB052,9,Grassland,Boelenslaan,Zand
63,i5,67,870,Rarefaction,0,0.945595771,157.5685151,154.7213087,160.4157215,VB048,8,Food_forest,Boelenslaan,Zand
64,i5,68,870,Rarefaction,0,0.99382968,97.51520273,94.23324609,100.7971594,VB076,13,Forest,Groesbeek,Leem
65,i5,69,870,Rarefaction,0,0.945675103,171.5923643,168.0737277,175.1110008,VB109,19,Arable_field,Sint-Truiden,Leem
66,i5,361,870,Rarefaction,0,0.939251941,128.0700763,124.5564276,131.583725,VB045,8,Food_forest,Boelenslaan,Zand
67,i5,175,870,Rarefaction,0,0.972410475,146.5061322,142.8522906,150.1599737,VB026,5,Forest,Vlaardingen,Klei
68,i5,72,870,Rarefaction,0,0.951515341,168.4978825,164.7002009,172.2955642,VB085,15,Food_forest,Groesbeek,Leem
69,i5,73,870,Rarefaction,0,0.978768013,135.2846048,132.4211324,138.1480773,VB022,4,Arable_field,Haarzuilens,Klei
70,i5,74,870,Rarefaction,0,0.914029659,230.3385501,226.3580613,234.3190388,VB091,16,Food_forest,Sint-Truiden,Leem
71,i5,362,870,Rarefaction,0,0.998459835,104.9704178,101.8856594,108.0551762,VB098,17,Forest,Sint-Truiden,Leem
72,i5,177,870,Rarefaction,0,0.959951116,156.7020867,152.8678736,160.5362998,VB032,6,Grassland,Vlaardingen,Klei
73,i5,77,870,Rarefaction,0,0.948018807,183.6815405,180.2019519,187.1611292,VB057,10,Food_forest,Boelenslaan,Zand
74,i5,78,870,Rarefaction,0,0.992430468,107.2204001,103.7293506,110.7114496,VB101,17,Forest,Sint-Truiden,Leem
75,i5,79,870,Rarefaction,0,0.936391663,192.2244835,188.8736979,195.5752691,VB012,2,Grassland,Haarzuilens,Klei
76,i5,80,870,Rarefaction,0,0.978804399,34.86308434,33.78518543,35.94098324,VB031,6,Grassland,Vlaardingen,Klei
77,i5,81,870,Rarefaction,0,0.92674592,210.3922587,205.978922,214.8055954,VB054,9,Grassland,Boelenslaan,Zand
78,i5,82,870,Rarefaction,0,0.93434579,191.6511231,187.6977044,195.6045418,VB040,7,Food_forest,Vlaardingen,Klei
79,i5,83,870,Rarefaction,0,0.925707929,209.9251026,206.281016,213.5691892,VB126,21,Food_forest,Amsterdam,Klei
80,i5,84,870,Rarefaction,0,0.946692993,184.2264634,179.9302114,188.5227154,VB008,2,Grassland,Haarzuilens,Klei
81,i5,178,870,Rarefaction,0,0.960782856,98.83942633,96.01831928,101.6605334,VB066,11,Forest,Boelenslaan,Zand
82,i5,86,870,Rarefaction,0,0.977654825,134.5102744,130.4243779,138.5961709,VB144,24,Grassland,Swalmen,Zand
83,i5,88,870,Rarefaction,0,0.965087763,138.5311272,135.0512005,142.011054,VB065,11,Forest,Boelenslaan,Zand
84,i5,180,870,Rarefaction,0,0.899805239,226.7831045,223.8190985,229.7471105,VB131,22,Forest,Amsterdam,Klei
85,i5,90,870,Rarefaction,0,0.943596303,184.735342,181.4224128,188.0482713,VB114,19,Arable_field,Sint-Truiden,Leem
86,i5,181,870,Rarefaction,0,0.955118287,189.9588274,186.6030291,193.3146256,VB148,25,Food_forest,Swalmen,Zand
87,i5,365,870,Rarefaction,0,0.934655661,155.9680162,151.8071849,160.1288475,VB058,10,Food_forest,Boelenslaan,Zand
88,i5,183,870,Rarefaction,0,0.928667831,213.5552817,209.3991314,217.711432,VB003,1,Food_forest,Haarzuilens,Klei
89,i5,18,870,Rarefaction,0,0.902987941,218.792792,215.6215819,221.9640022,VB002,1,Food_forest,Haarzuilens,Klei
90,i5,94,870,Rarefaction,0,0.888841006,246.0398716,242.5842078,249.4955353,VB023,4,Arable_field,Haarzuilens,Klei
91,i5,95,870,Rarefaction,0,0.893375464,218.388437,215.0386214,221.7382526,VB090,15,Food_forest,Groesbeek,Leem
92,i5,96,870,Rarefaction,0,0.890991879,254.4365598,250.352686,258.5204336,VB047,8,Food_forest,Boelenslaan,Zand
93,i5,97,870,Rarefaction,0,0.952225706,172.4456688,168.6787897,176.2125479,VB020,4,Arable_field,Haarzuilens,Klei
94,i5,98,870,Rarefaction,0,0.909143651,198.3727592,195.3021236,201.4433947,VB001,1,Food_forest,Haarzuilens,Klei
95,i5,99,870,Rarefaction,0,0.891113825,257.0673256,253.3155943,260.819057,VB095,16,Food_forest,Sint-Truiden,Leem
96,i5,184,870,Rarefaction,0,0.998281575,65.93218702,63.95892831,67.90544573,VB100,17,Forest,Sint-Truiden,Leem
97,i5,366,870,Rarefaction,0,0.933681856,189.8808215,186.8493604,192.9122826,VB067,12,Arable_field,Groesbeek,Leem
98,i5,102,870,Rarefaction,0,0.943052776,82.13950471,80.40999656,83.86901286,VB038,7,Food_forest,Vlaardingen,Klei
99,i5,103,870,Rarefaction,0,0.92129113,166.6046179,163.4118042,169.7974316,VB088,15,Food_forest,Groesbeek,Leem
100,i5,104,870,Rarefaction,0,0.937719626,112.1100566,109.6989806,114.5211326,VB027,5,Forest,Vlaardingen,Klei
101,i5,105,870,Rarefaction,0,0.919226075,165.1130676,162.3764891,167.8496461,VB029,5,Forest,Vlaardingen,Klei
102,i5,367,870,Rarefaction,0,0.949907882,176.6737826,172.6558748,180.6916904,VB139,24,Grassland,Swalmen,Zand
103,i5,107,870,Rarefaction,0,0.89406518,262.4697853,257.9341724,267.0053981,VB093,16,Food_forest,Sint-Truiden,Leem
104,i5,108,870,Rarefaction,0,0.899122655,189.6470291,186.5237206,192.7703375,VB120,20,Grassland,Amsterdam,Klei
105,i5,109,870,Rarefaction,0,0.9274733,178.3317246,175.1616917,181.5017574,VB072,12,Arable_field,Groesbeek,Leem
106,i5,187,870,Rarefaction,0,0.887484511,247.6285563,244.080186,251.1769266,VB121,21,Food_forest,Amsterdam,Klei
107,i5,111,870,Rarefaction,0,0.885588611,261.6724498,258.6481926,264.696707,VB015,3,Forest,Haarzuilens,Klei
108,i5,112,870,Rarefaction,0,0.900374321,235.337884,232.0388167,238.6369513,VB004,1,Food_forest,Haarzuilens,Klei
109,i5,113,870,Rarefaction,0,0.928201964,209.7118008,205.6683533,213.7552483,VB092,16,Food_forest,Sint-Truiden,Leem
110,i5,114,870,Rarefaction,0,0.890018475,241.4990071,237.9986344,244.9993797,VB018,3,Forest,Haarzuilens,Klei
111,i5,368,870,Rarefaction,0,0.953354565,123.2901537,119.6779429,126.9023644,VB056,10,Food_forest,Boelenslaan,Zand
112,i5,116,870,Rarefaction,0,0.941963913,202.0051533,198.1248047,205.885502,VB145,25,Food_forest,Swalmen,Zand
113,i5,117,870,Rarefaction,0,0.969716169,127.1508181,124.0369175,130.2647188,VB025,5,Forest,Vlaardingen,Klei
114,i5,369,870,Rarefaction,0,0.97822823,140.5770975,136.865369,144.2888261,VB142,24,Grassland,Swalmen,Zand
115,i5,120,870,Rarefaction,0,0.909536823,186.9569422,182.3822999,191.5315845,VB050,9,Grassland,Boelenslaan,Zand
116,i5,190,870,Rarefaction,0,0.897608095,227.6126049,224.2252992,230.9999107,VB124,21,Food_forest,Amsterdam,Klei
117,i5,122,870,Rarefaction,0,0.938310761,127.7779663,124.8994401,130.6564925,VB108,18,Grassland,Sint-Truiden,Leem
118,i5,370,870,Rarefaction,0,0.945832256,86.70987236,85.03368475,88.38605996,VB130,22,Forest,Amsterdam,Klei
119,i5,124,870,Rarefaction,0,0.984832589,106.0389811,102.0493695,110.0285928,VB104,18,Grassland,Sint-Truiden,Leem
120,i5,125,870,Rarefaction,0,0.923663503,211.4167787,207.7489889,215.0845685,VB011,2,Grassland,Haarzuilens,Klei
121,i5,126,870,Rarefaction,0,0.852236817,288.0656317,283.5988434,292.5324199,VB086,15,Food_forest,Groesbeek,Leem
122,i5,127,870,Rarefaction,0,0.973742834,142.8682999,140.0841867,145.6524131,VB019,4,Arable_field,Haarzuilens,Klei
123,i5,128,870,Rarefaction,0,0.931331633,202.0552736,198.3417355,205.7688117,VB111,19,Arable_field,Sint-Truiden,Leem
124,i5,129,870,Rarefaction,0,0.94544387,162.9749984,158.8859727,167.0640241,VB107,18,Grassland,Sint-Truiden,Leem
125,i5,130,870,Rarefaction,0,0.913273275,215.5589902,212.7169727,218.4010077,VB007,2,Grassland,Haarzuilens,Klei
126,i5,132,870,Rarefaction,0,0.932038064,137.7957193,134.8311102,140.7603284,VB005,1,Food_forest,Haarzuilens,Klei
127,i5,134,870,Rarefaction,0,0.989497846,129.7288481,126.6150503,132.8426458,VB143,24,Grassland,Swalmen,Zand
128,i5,193,870,Rarefaction,0,0.995846855,89.6904884,86.98790952,92.39306729,VB140,24,Grassland,Swalmen,Zand
129,i5,136,870,Rarefaction,0,0.908660432,203.8795478,200.7409871,207.0181084,VB039,7,Food_forest,Vlaardingen,Klei
130,i5,137,870,Rarefaction,0,0.924028646,197.8568342,193.9016847,201.8119837,VB033,6,Grassland,Vlaardingen,Klei
131,i5,138,870,Rarefaction,0,0.931846378,196.8809633,192.8505924,200.9113341,VB069,12,Arable_field,Groesbeek,Leem
132,i5,139,870,Rarefaction,0,0.896288936,231.9502368,228.8911948,235.0092789,VB083,14,Grassland,Groesbeek,Leem
133,i5,140,870,Rarefaction,0,0.925742548,151.0668406,147.9345338,154.1991474,VB115,20,Grassland,Amsterdam,Klei
134,i5,141,870,Rarefaction,0,0.936235133,207.7697534,203.3589309,212.1805759,VB016,3,Forest,Haarzuilens,Klei
135,i5,142,870,Rarefaction,0,0.896075164,242.7636602,239.1947629,246.3325575,VB094,16,Food_forest,Sint-Truiden,Leem
136,i5,143,870,Rarefaction,0,0.993164588,113.4803537,109.9478815,117.012826,VB132,22,Forest,Amsterdam,Klei
137,i5,144,870,Rarefaction,0,0.999408646,89.99616893,86.65751852,93.33481935,VB134,23,Forest,Swalmen,Zand
138,i5,145,870,Rarefaction,0,0.893096485,246.2465076,242.8002685,249.6927468,VB110,19,Arable_field,Sint-Truiden,Leem
139,i5,196,870,Rarefaction,0,0.951901636,183.256981,179.9215101,186.5924519,VB051,9,Grassland,Boelenslaan,Zand
140,i5,147,870,Rarefaction,0,0.926281801,197.0541248,193.7448261,200.3634234,VB009,2,Grassland,Haarzuilens,Klei
141,i5,148,870,Rarefaction,0,0.918872742,235.0144946,231.1367959,238.8921934,VB096,16,Food_forest,Sint-Truiden,Leem
