X,Assemblage,m,Method,Order.q,SC,qD,qD.LCL,qD.UCL,dna_code,unique_site,landuse,location,texture
72,i5.N72,10037,Rarefaction,0,0.998955528,103.96288,102.4954997,105.4302603,i5.N72,25,Food_forest,Swalmen,Zand
73,i5.N73,10037,Rarefaction,0,0.99956716,97.902619,96.40973567,99.39550233,i5.N73,5,Forest,Vlaardingen,Klei
74,i5.N74,10037,Rarefaction,0,0.999673066,87.61166048,86.26757918,88.95574177,i5.N74,3,Forest,Haarzuilens,Klei
75,i5.N75,10037,Rarefaction,0,0.999444016,103.2336764,101.9467238,104.5206291,i5.N75,20,Grassland,Amsterdam,Klei
76,i5.N76,10037,Rarefaction,0,0.99933813,95.92891628,94.37632278,97.48150977,i5.N76,7,Food_forest,Vlaardingen,Klei
77,i5.N77,10037,Rarefaction,0,0.999414275,64.48447548,63.2276453,65.74130566,i5.N77,11,Forest,Boelenslaan,Zand
78,i5.N79,10037,Rarefaction,0,0.999325651,95.30222613,93.87873172,96.72572053,i5.N79,12,Arable_field,Groesbeek,Leem
79,i5.N80,10037,Rarefaction,0,0.999182774,98.20811916,96.90530649,99.51093183,i5.N80,15,Food_forest,Groesbeek,Leem
80,i5.N81,10037,Rarefaction,0,0.999256581,101.9070345,100.1955524,103.6185166,i5.N81,24,Grassland,Swalmen,Zand
81,i5.N83,10037,Rarefaction,0,0.999532637,82.47853901,81.49983034,83.45724767,i5.N83,22,Forest,Amsterdam,Klei
82,i5.N84,10037,Rarefaction,0,0.999205585,103.6099403,102.1484803,105.0714004,i5.N84,19,Arable_field,Sint-Truiden,Leem
83,i5.N85,10037,Rarefaction,0,0.999023504,91.08319827,89.76381102,92.40258553,i5.N85,6,Grassland,Vlaardingen,Klei
84,i5.N86,10037,Rarefaction,0,0.999298096,96.72797993,95.05466089,98.40129897,i5.N86,17,Forest,Sint-Truiden,Leem
85,i5.N87,10037,Rarefaction,0,0.999715981,61.84477421,61.01651467,62.67303376,i5.N87,12,Arable_field,Groesbeek,Leem
86,i5.N88,10037,Rarefaction,0,0.999735133,65.29364162,63.95424169,66.63304155,i5.N88,10,Food_forest,Boelenslaan,Zand
87,i5.N89,10037,Rarefaction,0,0.99928529,89.25591205,87.60655454,90.90526957,i5.N89,19,Arable_field,Sint-Truiden,Leem
88,i5.N90,10037,Rarefaction,0,0.999482186,82.72276057,81.50708812,83.93843301,i5.N90,22,Forest,Amsterdam,Klei
89,i5.N91,10037,Rarefaction,0,0.999357358,94.02559956,92.74550328,95.30569583,i5.N91,1,Food_forest,Haarzuilens,Klei
90,i5.N92,10037,Rarefaction,0,0.999105872,103.9088614,102.4753773,105.3423455,i5.N92,15,Food_forest,Groesbeek,Leem
91,i5.N93,10037,Rarefaction,0,0.999780593,45.85036743,45.02435821,46.67637665,i5.N93,13,Forest,Groesbeek,Leem
92,i5.N94,10037,Rarefaction,0,0.999403534,109.3238116,107.6627661,110.984857,i5.N94,3,Forest,Haarzuilens,Klei
93,i5.N95,10037,Rarefaction,0,0.999843084,77.61784037,76.53041817,78.70526256,i5.N95,12,Arable_field,Groesbeek,Leem
94,i5.N96,10037,Rarefaction,0,0.998816215,121.3681472,119.3978112,123.3384832,i5.N96,25,Food_forest,Swalmen,Zand
95,i5.N97,10037,Rarefaction,0,0.998918001,117.9400955,116.5824378,119.2977533,i5.N97,16,Food_forest,Sint-Truiden,Leem
96,i5.N98,10037,Rarefaction,0,0.999154987,91.34333874,90.18527867,92.5013988,i5.N98,18,Grassland,Sint-Truiden,Leem
97,i5.N99,10037,Rarefaction,0,0.99901382,137.843486,135.9891269,139.6978451,i5.N99,7,Food_forest,Vlaardingen,Klei
98,i5.N100,10037,Rarefaction,0,0.999585056,73.22072383,72.05775226,74.38369539,i5.N100,20,Grassland,Amsterdam,Klei
99,i5.N101,10037,Rarefaction,0,0.999745499,86.59721997,85.85253124,87.3419087,i5.N101,5,Forest,Vlaardingen,Klei
100,i5.N102,10037,Rarefaction,0,0.999500504,71.82505155,70.32492817,73.32517492,i5.N102,18,Grassland,Sint-Truiden,Leem
101,i5.N103,10037,Rarefaction,0,0.999627034,69.01073015,66.49560358,71.52585672,i5.N103,25,Food_forest,Swalmen,Zand
102,i5.N104,10037,Rarefaction,0,0.999488533,124.5473946,123.5271084,125.5676808,i5.N104,21,Food_forest,Amsterdam,Klei
103,i5.N105,10037,Rarefaction,0,0.999381437,90.72400145,89.4431018,92.0049011,i5.N105,6,Grassland,Vlaardingen,Klei
104,i5.N106,10037,Rarefaction,0,0.999364091,86.27182813,84.75015103,87.79350523,i5.N106,14,Grassland,Groesbeek,Leem
105,i5.N107,10037,Rarefaction,0,0.999382558,75.21098102,73.89852775,76.52343428,i5.N107,11,Forest,Boelenslaan,Zand
106,i5.N108,10037,Rarefaction,0,0.999535733,100.034762,98.59995889,101.4695652,i5.N108,13,Forest,Groesbeek,Leem
107,i5.N109,10037,Rarefaction,0,0.999616008,71.51696226,70.1720341,72.86189043,i5.N109,8,Food_forest,Boelenslaan,Zand
108,i5.N110,10037,Rarefaction,0,0.999651355,64.55050162,63.43799856,65.66300467,i5.N110,14,Grassland,Groesbeek,Leem
109,i5.N112,10037,Rarefaction,0,0.999275863,84.66200356,83.80244196,85.52156515,i5.N112,11,Forest,Boelenslaan,Zand
110,i5.N113,10037,Rarefaction,0,0.998814621,121.4273804,119.9240175,122.9307433,i5.N113,16,Food_forest,Sint-Truiden,Leem
111,i5.N114,10037,Rarefaction,0,0.9992354,143.9643727,141.9194487,146.0092968,i5.N114,1,Food_forest,Haarzuilens,Klei
112,i5.N116,10037,Rarefaction,0,0.99960548,100.3267468,98.82599405,101.8274996,i5.N116,21,Food_forest,Amsterdam,Klei
113,i5.N117,10037,Rarefaction,0,0.999234416,77.20471804,75.84570853,78.56372755,i5.N117,18,Grassland,Sint-Truiden,Leem
114,i5.N118,10037,Rarefaction,0,0.999732196,91.95622131,90.91764529,92.99479733,i5.N118,22,Forest,Amsterdam,Klei
115,i5.N120,10037,Rarefaction,0,0.999803258,49.55910245,48.79488888,50.32331603,i5.N120,10,Food_forest,Boelenslaan,Zand
116,i5.N121,10037,Rarefaction,0,0.999710428,60.77529444,59.89281155,61.65777733,i5.N121,14,Grassland,Groesbeek,Leem
117,i5.N122,10037,Rarefaction,0,0.999202333,71.6896158,70.33308342,73.04614818,i5.N122,18,Grassland,Sint-Truiden,Leem
118,i5.N123,10037,Rarefaction,0,0.999448294,73.67581405,72.26813229,75.0834958,i5.N123,24,Grassland,Swalmen,Zand
119,i5.N124,10037,Rarefaction,0,0.99960875,112.8872733,111.3972923,114.3772544,i5.N124,3,Forest,Haarzuilens,Klei
120,i5.N125,10037,Rarefaction,0,0.99944358,77.60655048,76.26725053,78.94585043,i5.N125,24,Grassland,Swalmen,Zand
121,i5.N126,10037,Rarefaction,0,0.999402137,48.75296398,47.34653107,50.15939689,i5.N126,13,Forest,Groesbeek,Leem
122,i5.N127,10037,Rarefaction,0,0.999133918,98.88629251,97.32773333,100.4448517,i5.N127,16,Food_forest,Sint-Truiden,Leem
123,i5.N128,10037,Rarefaction,0,0.999736893,57.81691296,56.85940847,58.77441746,i5.N128,22,Forest,Amsterdam,Klei
124,i5.N129,10037,Rarefaction,0,0.99943313,82.83835084,81.36459127,84.3121104,i5.N129,9,Grassland,Boelenslaan,Zand
125,i5.N131,10037,Rarefaction,0,0.999412664,92.15258917,90.69143439,93.61374394,i5.N131,21,Food_forest,Amsterdam,Klei
126,i5.N132,10037,Rarefaction,0,0.99956958,77.92805607,76.50597942,79.35013273,i5.N132,24,Grassland,Swalmen,Zand
127,i5.N133,10037,Rarefaction,0,0.999999622,66.99999623,66.01056659,67.98942587,i5.N133,12,Arable_field,Groesbeek,Leem
128,i5.N134,10037,Rarefaction,0,0.999555491,100.2863664,98.86133484,101.7113979,i5.N134,12,Arable_field,Groesbeek,Leem
129,i5.N135,10037,Rarefaction,0,0.99923719,99.8681055,97.95478854,101.7814225,i5.N135,25,Food_forest,Swalmen,Zand
130,i5.N136,10037,Rarefaction,0,0.998473624,108.4023807,106.8168742,109.9878872,i5.N136,2,Grassland,Haarzuilens,Klei
131,i5.N137,10037,Rarefaction,0,0.99952211,86.34892962,85.11189804,87.58596119,i5.N137,10,Food_forest,Boelenslaan,Zand
132,i5.N138,10037,Rarefaction,0,0.99955819,120.0688688,118.6283277,121.50941,i5.N138,6,Grassland,Vlaardingen,Klei
133,i5.N139,10037,Rarefaction,0,0.999460563,132.8369412,131.4295093,134.2443732,i5.N139,1,Food_forest,Haarzuilens,Klei
134,i5.N140,10037,Rarefaction,0,0.999091751,103.4029743,101.2862354,105.5197132,i5.N140,25,Food_forest,Swalmen,Zand
135,i5.N141,10037,Rarefaction,0,0.998902318,118.3197828,116.6219903,120.0175752,i5.N141,6,Grassland,Vlaardingen,Klei
136,i5.N142,10037,Rarefaction,0,0.999118094,81.41801643,79.94878199,82.88725088,i5.N142,18,Grassland,Sint-Truiden,Leem
137,i5.N143,10037,Rarefaction,0,0.999903276,67.85494018,66.78775785,68.92212251,i5.N143,23,Forest,Swalmen,Zand
138,i5.N144,10037,Rarefaction,0,0.99918146,123.4286465,121.8705305,124.9867624,i5.N144,16,Food_forest,Sint-Truiden,Leem
139,i5.N145,10037,Rarefaction,0,0.999612011,96.61033043,94.93119502,98.28946583,i5.N145,5,Forest,Vlaardingen,Klei
140,i5.N146,10037,Rarefaction,0,0.999043345,95.57734931,94.47045512,96.6842435,i5.N146,2,Grassland,Haarzuilens,Klei
141,i5.N147,10037,Rarefaction,0,0.998669888,181.3398376,179.4698505,183.2098248,i5.N147,3,Forest,Haarzuilens,Klei
142,i5.N148,10037,Rarefaction,0,0.999068853,129.2715831,128.1604549,130.3827113,i5.N148,20,Grassland,Amsterdam,Klei
