code,site,location,landuse,soiltexture,previous_lu,year_establ,
VB203,AH,Rijswijk,Grassland,clay,NA,NA,
VB204,AH,Rijswijk,Grassland,clay,NA,NA,
VB205,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB206,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB207,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB208,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB209,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB210,AI,Rijswijk,Food_forest,clay,Grassland,2016,
VB211,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB212,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB213,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB214,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB215,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB216,AJ,Rijswijk,Arable_field,clay,NA,NA,
VB217,AK,Rijswijk,Forest,clay,NA,1993,
VB218,AK,Rijswijk,Forest,clay,NA,1993,
VB219,AK,Rijswijk,Forest,clay,NA,1993,
VB220,AK,Rijswijk,Forest,clay,NA,1993,
VB221,AK,Rijswijk,Forest,clay,NA,1993,
VB222,AK,Rijswijk,Forest,clay,NA,1993,
VB223,AL,Oostwaard,Grassland,clay,NA,NA,
VB224,AL,Oostwaard,Grassland,clay,NA,NA,
VB225,AL,Oostwaard,Grassland,clay,NA,NA,
VB226,AL,Oostwaard,Grassland,clay,NA,NA,
VB227,AL,Oostwaard,Grassland,clay,NA,NA,
VB228,AL,Oostwaard,Grassland,clay,NA,NA,
VB229,AM,Oostwaard,Forest,clay,NA,NA,
VB230,AM,Oostwaard,Forest,clay,NA,NA,
VB231,AM,Oostwaard,Forest,clay,NA,NA,
VB232,AM,Oostwaard,Forest,clay,NA,NA,
VB233,AM,Oostwaard,Forest,clay,NA,NA,
VB234,AM,Oostwaard,Forest,clay,NA,NA,
VB235,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB236,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB237,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB238,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB239,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB240,AN,Oostwaard,Food_forest,clay,Arable_field,2015,
VB241,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB242,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB243,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB244,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB245,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB246,AO,Etten-Leur,Food_forest,sand,Grassland,2015,
VB247,AP,Etten-Leur,Grassland,sand,NA,NA,
VB248,AP,Etten-Leur,Grassland,sand,NA,NA,
VB249,AP,Etten-Leur,Grassland,sand,NA,NA,
VB250,AP,Etten-Leur,Grassland,sand,NA,NA,
VB251,AP,Etten-Leur,Grassland,sand,NA,NA,
VB252,AP,Etten-Leur,Grassland,sand,NA,NA,
VB253,AQ,Etten-Leur,Forest,sand,NA,2005,
VB254,AQ,Etten-Leur,Forest,sand,NA,2005,
VB255,AQ,Etten-Leur,Forest,sand,NA,2005,
VB256,AQ,Etten-Leur,Forest,sand,NA,2005,
VB257,AQ,Etten-Leur,Forest,sand,NA,2005,
VB258,AQ,Etten-Leur,Forest,sand,NA,2005,
VB259,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB260,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB261,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB262,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB263,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB264,AR,Etten-Leur,Arable_field,sand,NA,NA,
VB265,AS,Malden,Grassland,loam,NA,NA,
VB266,AS,Malden,Grassland,loam,NA,NA,
VB267,AS,Malden,Grassland,loam,NA,NA,
VB268,AS,Malden,Grassland,loam,NA,NA,
VB269,AS,Malden,Grassland,loam,NA,NA,
VB270,AS,Malden,Grassland,loam,NA,NA,
VB271,AT,Malden,Food_forest,loam,Grassland,2014,
VB272,AT,Malden,Food_forest,loam,Grassland,2014,
VB273,AT,Malden,Food_forest,loam,Grassland,2014,
VB274,AT,Malden,Food_forest,loam,Grassland,2014,
VB275,AT,Malden,Food_forest,loam,Grassland,2014,
VB276,AT,Malden,Food_forest,loam,Grassland,2014,
VB277,AU,Malden,Forest,loam,NA,NA,
VB278,AU,Malden,Forest,loam,NA,NA,
VB279,AU,Malden,Forest,loam,NA,NA,
VB280,AU,Malden,Forest,loam,NA,NA,
VB281,AU,Malden,Forest,loam,NA,NA,
VB282,AU,Malden,Forest,loam,NA,NA,
VB283,AV,Malden,Arable_field,loam,NA,NA,
VB284,AV,Malden,Arable_field,loam,NA,NA,
VB285,AV,Malden,Arable_field,loam,NA,NA,
VB286,AV,Malden,Arable_field,loam,NA,NA,
VB287,AV,Malden,Arable_field,loam,NA,NA,
VB288,AV,Malden,Arable_field,loam,NA,NA,
VB289,AW,Vaassen,Forest,sand,NA,NA,
VB290,AW,Vaassen,Forest,sand,NA,NA,
VB291,AW,Vaassen,Forest,sand,NA,NA,
VB292,AW,Vaassen,Forest,sand,NA,NA,
VB293,AW,Vaassen,Forest,sand,NA,NA,
VB294,AW,Vaassen,Forest,sand,NA,NA,
VB295,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB296,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB297,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB298,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB299,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB300,AX,Vaassen,Food_forest,sand,Arable_field,2013,
VB301,AY,Vaassen,Grassland,sand,NA,NA,
VB302,AY,Vaassen,Grassland,sand,NA,NA,
VB303,AY,Vaassen,Grassland,sand,NA,NA,
VB304,AY,Vaassen,Grassland,sand,NA,NA,
VB305,AY,Vaassen,Grassland,sand,NA,NA,
VB306,AY,Vaassen,Grassland,sand,NA,NA,
VB307,AZ,Vaassen,Arable_field,sand,NA,NA,
VB308,AZ,Vaassen,Arable_field,sand,NA,NA,
VB309,AZ,Vaassen,Arable_field,sand,NA,NA,
VB310,AZ,Vaassen,Arable_field,sand,NA,NA,
VB311,AZ,Vaassen,Arable_field,sand,NA,NA,
VB312,AZ,Vaassen,Arable_field,sand,NA,NA,
