code,Bacteria_total,Microbial,AMF_PLFA,Actinobacteria_total,Fungi_total,Total_PLFA,AMF_NLFA,site,location,landuse
VB074,19.73884394,6.347638858,1.316813826,3.417959386,1.396994528,28.439478,0.548787574,M,Groesbeek,Forest
VB075,16.12766951,6.304111045,0.852516209,2.987564148,1.235772761,24.17104722,0.683964964,M,Groesbeek,Forest
VB076,21.5243514,7.389049855,0.806403263,4.8554059,1.898891941,31.18599227,0.311028267,M,Groesbeek,Forest
VB077,18.4524278,7.054981711,0.860660776,3.943027277,2.200820124,28.20426264,0.506624529,M,Groesbeek,Forest
VB078,19.30197727,6.439625254,0.752632826,3.678671673,1.593007822,27.72002595,0.908274362,M,Groesbeek,Forest
VB081,18.49523156,7.45085981,1.658158626,3.206942237,1.158874206,28.35234171,1.17977892,N,Groesbeek,Grassland
VB082,19.39322744,7.350325318,1.473933305,3.355365818,0.818333106,28.6203167,1.642843808,N,Groesbeek,Grassland
VB083,16.2440117,6.798826451,1.297136263,2.833994855,0.851579056,24.83385261,1.718955929,N,Groesbeek,Grassland
VB084,13.14937115,6.00995414,1.039452034,2.12650595,0.552181846,20.44024869,0.828284726,N,Groesbeek,Grassland
VB085,12.40349472,5.546008796,1.028915195,1.757730124,1.143888673,19.83584804,1.227560826,O,Groesbeek,Food_forest
VB086,9.869967524,4.850384042,0.885387563,1.257805385,1.247062563,16.62093579,0.389317754,O,Groesbeek,Food_forest
VB087,13.52674023,5.012239727,0.977219796,2.102840471,0.82288288,20.04302287,0.623350248,O,Groesbeek,Food_forest
VB088,13.68864601,6.307058061,1.180221351,1.900844972,1.56215187,22.38977588,1.015958235,O,Groesbeek,Food_forest
VB089,12.01856239,4.6649611,0.958142445,1.846513298,0.74152599,18.12033151,0.360712266,O,Groesbeek,Food_forest
VB090,13.15258686,5.493625517,1.037358023,2.01589268,1.436403026,20.83460061,0.489223016,O,Groesbeek,Food_forest
VB091,12.48649628,4.792663606,1.151317255,1.959808958,1.118726891,19.26403835,1.604933494,P,Sint-Truiden,Food_forest
VB092,18.80955254,6.06571837,1.597774726,3.25593667,1.314310024,27.43782023,1.573879165,P,Sint-Truiden,Food_forest
VB093,11.99435315,5.603343295,0.966274057,1.851091137,1.230075095,19.53622305,1.620090968,P,Sint-Truiden,Food_forest
VB094,24.63262282,8.304615215,2.029009556,3.966687401,1.95147616,36.44595275,4.953506986,P,Sint-Truiden,Food_forest
VB095,12.41772001,4.900266193,1.004040556,1.974670205,1.418678464,19.49911867,2.972342005,P,Sint-Truiden,Food_forest
VB096,15.03091403,5.867715559,1.328276944,2.454878332,1.184843897,23.09967489,1.063182897,P,Sint-Truiden,Food_forest
VB097,15.10168644,6.248906718,0.637128195,3.135136911,2.226063755,23.87773883,0.364100303,Q,Sint-Truiden,Forest
VB098,13.89302422,4.932163307,0.490780341,3.222671493,2.158000564,21.18523197,0.827289025,Q,Sint-Truiden,Forest
VB099,15.55750555,6.408151731,0.472767259,4.536162986,3.396998828,25.46159097,0.617472798,Q,Sint-Truiden,Forest
VB100,10.82144711,4.458610957,0.385470688,2.566378181,1.545309158,16.96499328,0.109408549,Q,Sint-Truiden,Forest
VB101,10.37611279,3.992272137,0.383789393,2.186305869,0.816738327,15.34467614,0.5520061,Q,Sint-Truiden,Forest
VB102,10.87655831,4.340496721,0.347092975,2.658600105,1.38763809,16.71770014,0.143777417,Q,Sint-Truiden,Forest
VB103,15.03312594,6.830514532,1.12386852,2.61975381,1.776689539,24.47753062,4.490001331,R,Sint-Truiden,Grassland
VB104,13.94486416,6.002618862,1.027836233,2.180698245,1.693028634,22.41691484,2.408159684,R,Sint-Truiden,Grassland
