code,site,location,landuse,soiltexture,bulkdensity,pH_KCl,C_total,N_total,NH4,NO3,P_total,P_Olsen,P_Ox,K,Mg,Ca,Na,Al,Fe
VB065,K,Boelenslaan,Forest,sand,1.15,3.8,3.645,0.237,13.195,8.699,471,86.7,194.3,30.8,34.2,366,23.6,272,12.3
VB066,K,Boelenslaan,Forest,sand,0.75,3.2,6.751,0.304,10.668,3.091,503,135.3,259.6,32.9,24.3,192,18.9,392,16.4
VB067,L,Groesbeek,Arable_field,loam,1.21,5.0,2.505,0.211,10.603,13.126,577,28.5,202.9,76.3,245.8,1903,13.5,<bg,<bg
VB068,L,Groesbeek,Arable_field,loam,1.27,5.0,2.464,0.207,5.762,12.622,640,35.2,268.4,96.7,229.2,1658,18.8,<bg,<bg
VB069,L,Groesbeek,Arable_field,loam,1.24,4.6,2.333,0.247,6.731,11.329,564,18.7,178.0,77.1,213.7,1646,12.0,<bg,<bg
VB070,L,Groesbeek,Arable_field,loam,1.23,5.0,2.261,0.211,7.154,5.167,510,27.8,189.8,137.0,244.4,1813,14.8,<bg,<bg
VB071,L,Groesbeek,Arable_field,loam,1.18,5.0,2.539,0.235,5.103,12.862,527,30.5,185.2,139.1,246.4,1776,15.0,<bg,<bg
VB072,L,Groesbeek,Arable_field,loam,1.34,4.6,2.306,0.224,6.282,24.763,850,68.2,445.0,208.6,193.6,1339,7.2,<bg,<bg
VB073,M,Groesbeek,Forest,loam,0.79,4.1,3.713,0.315,19.170,2.831,441,9.9,42.7,47.1,150.3,2314,35.9,94,18.8
VB074,M,Groesbeek,Forest,loam,0.74,4.8,3.129,0.241,12.136,6.068,435,16.4,97.6,48.0,184.7,3031,36.2,<bg,<bg
VB075,M,Groesbeek,Forest,loam,0.94,4.1,2.446,0.178,13.243,2.083,283,9.1,37.0,50.7,132.4,2117,43.2,90,14.6
VB076,M,Groesbeek,Forest,loam,0.56,3.4,6.762,0.373,28.387,2.829,372,18.4,42.6,50.1,111.6,1245,28.2,423,68.6
VB077,M,Groesbeek,Forest,loam,0.60,3.7,5.348,0.347,28.645,10.315,624,14.5,70.9,42.6,101.1,1770,28.0,307,26.2
VB078,M,Groesbeek,Forest,loam,0.40,3.5,4.774,0.312,28.102,4.783,436,10.5,41.4,50.0,166.1,1448,35.0,402,53
VB081,N,Groesbeek,Grassland,loam,1.33,4.9,2.446,0.192,6.704,13.707,774,55.8,341.1,83.3,201.2,1062,30.2,<bg,<bg
VB082,N,Groesbeek,Grassland,loam,1.35,4.9,2.265,0.182,6.081,8.872,902,31.2,230.7,120.8,221.0,1059,30.0,<bg,<bg
VB083,N,Groesbeek,Grassland,loam,1.24,4.8,2.477,0.181,4.827,14.286,521,35.9,173.9,71.6,178.2,893,25.7,<bg,<bg
VB084,N,Groesbeek,Grassland,loam,1.29,4.9,2.284,0.172,9.959,12.420,521,34.3,186.1,71.2,171.3,853,25.4,<bg,<bg
VB085,O,Groesbeek,Food_forest,loam,0.78,4.7,2.631,0.19,9.957,4.822,595,29.8,202.7,219.9,84.2,1283,5.1,<bg,3
