"","i5","dna_code","m","Method","Order.q","SC","qD","qD.LCL","qD.UCL","unique_site","landuse","location","texture"
"40","i5",253,31042,"Rarefaction",0,0.999100328230089,669.602591472439,665.466437264627,673.738745680252,30,"Food_forest","Houthulst","Leem"
"41","i5",254,31042,"Rarefaction",0,0.999417693265985,490.161438750135,486.204010978282,494.118866521988,37,"Forest","Rijswijk","Klei"
"42","i5",255,31042,"Rarefaction",0,0.999703190862324,211.919913070805,209.017010446221,214.82281569539,45,"Grassland","Malden","Leem"
"43","i5",256,31042,"Rarefaction",0,0.999062440912193,585.719975488229,582.431746809898,589.00820416656,32,"Forest","Houthulst","Leem"
"44","i5",257,31042,"Rarefaction",0,0.999115161009282,559.590683772654,556.678583274087,562.502784271222,38,"Grassland","Oostwaard","Klei"
"45","i5",258,31042,"Rarefaction",0,0.999354977222456,456.719182685422,453.985584562486,459.452780808358,28,"Forest","Nevele","Zand"
"46","i5",259,31042,"Rarefaction",0,0.999853150952946,314.810862649165,313.336694374189,316.285030924141,27,"Arable_field","Nevele","Zand"
"47","i5",260,31042,"Rarefaction",0,0.999008176694715,507.551204006405,503.528237139565,511.574170873245,35,"Food_forest","Rijswijk","Klei"
"48","i5",261,31042,"Rarefaction",0,0.999644691259294,404.253030218536,401.831768639421,406.67429179765,48,"Arable_field","Malden","Leem"
"49","i5",155,31042,"Rarefaction",0,0.999917466076194,332.752581332932,330.218587910913,335.28657475495,17,"Forest","Sint-Truiden","Leem"
"50","i5",262,31042,"Rarefaction",0,0.999581308659149,484.568465159149,481.387235710689,487.749694607608,39,"Forest","Oostwaard","Klei"
"51","i5",263,31042,"Rarefaction",0,0.999198969421557,648.772775498773,645.176369741889,652.369181255658,26,"Food_forest","Nevele","Zand"
"52","i5",264,31042,"Rarefaction",0,0.999798475861194,349.799795437413,347.953813349684,351.645777525142,36,"Arable_field","Rijswijk","Klei"
"53","i5",265,31042,"Rarefaction",0,0.999204268163107,509.115981733966,505.46222005824,512.769743409693,37,"Forest","Rijswijk","Klei"
