i5_code;i5;dna_code;dna_region;code;texture;location;unique_site;landuse
i5.114;i5.;114;ITS;VB018;Klei;Haarzuilens;3;Forest
i5.368;i5.;368;ITS;VB056;Zand;Boelenslaan;10;Food_forest
i5.116;i5.;116;ITS;VB145;Zand;Swalmen;25;Food_forest
i5.117;i5.;117;ITS;VB025;Klei;Vlaardingen;5;Forest
i5.369;i5.;369;ITS;VB142;Zand;Swalmen;24;Grassland
i5.119;i5.;119;ITS;VB017;Klei;Haarzuilens;3;Forest
i5.120;i5.;120;ITS;VB050;Zand;Boelenslaan;9;Grassland
i5.190;i5.;190;ITS;VB124;Klei;Amsterdam;21;Food_forest
i5.122;i5.;122;ITS;VB108;Leem;Sint-Truiden;18;Grassland
i5.370;i5.;370;ITS;VB130;Klei;Amsterdam;22;Forest
i5.124;i5.;124;ITS;VB104;Leem;Sint-Truiden;18;Grassland
i5.125;i5.;125;ITS;VB011;Klei;Haarzuilens;2;Grassland
i5.126;i5.;126;ITS;VB086;Leem;Groesbeek;15;Food_forest
i5.127;i5.;127;ITS;VB019;Klei;Haarzuilens;4;Arable_field
i5.128;i5.;128;ITS;VB111;Leem;Sint-Truiden;19;Arable_field
i5.129;i5.;129;ITS;VB107;Leem;Sint-Truiden;18;Grassland
i5.130;i5.;130;ITS;VB007;Klei;Haarzuilens;2;Grassland
i5.131;i5.;131;ITS;VB074;Leem;Groesbeek;13;Forest
i5.132;i5.;132;ITS;VB005;Klei;Haarzuilens;1;Food_forest
i5.133;i5.;133;ITS;VB078;Leem;Groesbeek;13;Forest
i5.134;i5.;134;ITS;VB143;Zand;Swalmen;24;Grassland
i5.193;i5.;193;ITS;VB140;Zand;Swalmen;24;Grassland
i5.136;i5.;136;ITS;VB039;Klei;Vlaardingen;7;Food_forest
i5.137;i5.;137;ITS;VB033;Klei;Vlaardingen;6;Grassland
i5.138;i5.;138;ITS;VB069;Leem;Groesbeek;12;Arable_field
i5.139;i5.;139;ITS;VB083;Leem;Groesbeek;14;Grassland
i5.140;i5.;140;ITS;VB115;Klei;Amsterdam;20;Grassland
i5.141;i5.;141;ITS;VB016;Klei;Haarzuilens;3;Forest
i5.142;i5.;142;ITS;VB094;Leem;Sint-Truiden;16;Food_forest
i5.143;i5.;143;ITS;VB132;Klei;Amsterdam;22;Forest
i5.144;i5.;144;ITS;VB134;Zand;Swalmen;23;Forest
i5.145;i5.;145;ITS;VB110;Leem;Sint-Truiden;19;Arable_field
i5.196;i5.;196;ITS;VB051;Zand;Boelenslaan;9;Grassland
i5.147;i5.;147;ITS;VB009;Klei;Haarzuilens;2;Grassland
i5.148;i5.;148;ITS;VB096;Leem;Sint-Truiden;16;Food_forest
i5.197;i5.;197;ITS;VB221;Klei;Rijswijk;37;Forest
i5.198;i5.;198;ITS;VB152;Zand;Nevele;26;Food_forest
i5.199;i5.;199;ITS;VB238;Klei;Oostwaard;40;Food_forest
i5.200;i5.;200;ITS;VB194;Leem;Houthulst;33;Arable_field
i5.201;i5.;201;ITS;VB195;Leem;Houthulst;33;Arable_field
i5.202;i5.;202;ITS;VB207;Klei;Rijswijk;35;Food_forest
i5.203;i5.;203;ITS;VB290;Zand;Vaassen;49;Forest
i5.204;i5.;204;ITS;VB305;Zand;Vaassen;51;Grassland
i5.205;i5.;205;ITS;VB183;Leem;Houthulst;31;Grassland
i5.206;i5.;206;ITS;VB274;Leem;Malden;46;Food_forest
i5.207;i5.;207;ITS;VB283;Leem;Malden;48;Arable_field
i5.208;i5.;208;ITS;VB169;Zand;Nevele;29;Grassland
i5.209;i5.;209;ITS;VB192;Leem;Houthulst;32;Forest
i5.210;i5.;210;ITS;VB223;Klei;Oostwaard;38;Grassland
i5.211;i5.;211;ITS;VB208;Klei;Rijswijk;35;Food_forest
i5.212;i5.;212;ITS;VB210;Klei;Rijswijk;35;Food_forest
i5.213;i5.;213;ITS;VB255;Zand;Etten-Leur;43;Forest
i5.214;i5.;214;ITS;VB188;Leem;Houthulst;32;Forest
i5.215;i5.;215;ITS;VB284;Leem;Malden;48;Arable_field
i5.216;i5.;216;ITS;VB163;Zand;Nevele;28;Forest
i5.217;i5.;217;ITS;VB189;Leem;Houthulst;32;Forest
i5.218;i5.;218;ITS;VB279;Leem;Malden;47;Forest
i5.219;i5.;219;ITS;VB164;Zand;Nevele;28;Forest
i5.220;i5.;220;ITS;VB295;Zand;Vaassen;50;Food_forest
i5.221;i5.;221;ITS;VB187;Leem;Houthulst;32;Forest
i5.222;i5.;222;ITS;VB185;Leem;Houthulst;31;Grassland
i5.223;i5.;223;ITS;VB242;Zand;Etten-Leur;41;Food_forest
i5.224;i5.;224;ITS;VB289;Zand;Vaassen;49;Forest
i5.225;i5.;225;ITS;VB167;Zand;Nevele;28;Forest
i5.226;i5.;226;ITS;VB153;Zand;Nevele;26;Food_forest
i5.227;i5.;227;ITS;VB214;Klei;Rijswijk;36;Arable_field
i5.228;i5.;228;ITS;VB237;Klei;Oostwaard;40;Food_forest
i5.229;i5.;229;ITS;VB186;Leem;Houthulst;31;Grassland
i5.230;i5.;230;ITS;VB260;Zand;Etten-Leur;44;Arable_field
i5.231;i5.;231;ITS;VB199;Klei;Rijswijk;34;Grassland
